14, 5, 10, 10, 11, 10, 11, 12, 7, 12, 10, 18, 8, 10, 13, 10, 5, 11, 7, 7, 10, 11, 10, 13, 13, 14, 15, 14, 15, 13, 17, 17, 14, 14, 14, 13, 11, 13, 19, 22, 26, 22, 27, 27, 20, 23, 35, 36, 28, 27, 25, 17, 23, 29, 29, 26, 20, 21, 25, 29, 34, 38, 32, 33, 30, 27, 31, 32, 26, 28, 26, 25, 29, 28, 32, 27, 14, 18, 17, 19, 19, 15, 19, 16, 14, 15, 19, 12, 21, 21, 20, 22, 21, 15, 18, 13, 18, 18, 13, 13, 17, 15, 14, 13, 16, 13, 7, 15, 12, 16, 13, 13, 11, 16, 12, 11, 18, 16, 15, 20, 12, 18, 19, 12, 12, 19, 21, 17, 16, 17, 14, 9, 14, 18, 18, 22, 18, 17, 19, 15, 22, 18, 22, 19, 24, 27, 22, 25, 20, 22
19, 8, 12, 8, 11, 12, 11, 14, 10, 11, 16, 17, 10, 12, 10, 14, 12, 13, 11, 6, 13, 10, 5, 10, 9, 12, 8, 10, 8, 8, 14, 16, 16, 16, 12, 12, 6, 8, 19, 15, 17, 15, 19, 18, 10, 12, 29, 26, 25, 19, 16, 10, 13, 19, 23, 15, 11, 12, 19, 15, 25, 23, 25, 20, 12, 16, 22, 15, 14, 15, 15, 13, 21, 17, 17, 21, 13, 19, 15, 14, 17, 13, 9, 6, 7, 8, 17, 11, 14, 16, 14, 14, 17, 12, 12, 13, 17, 15, 14, 12, 16, 15, 14, 14, 12, 13, 12, 19, 14, 19, 13, 15, 11, 19, 17, 14, 26, 21, 17, 23, 20, 23, 20, 16, 10, 13, 23, 18, 15, 14, 18, 14, 16, 16, 16, 13, 16, 16, 25, 20, 22, 14, 15, 12, 16, 14, 15, 16, 10, 11
12, 5, 5, 9, 5, 9, 8, 6, 7, 7, 8, 12, 8, 9, 9, 8, 11, 9, 9, 7, 8, 6, 2, 6, 5, 5, 6, 7, 4, 2, 7, 5, 7, 6, 3, 7, 13, 14, 15, 10, 14, 16, 14, 18, 9, 9, 31, 23, 20, 16, 18, 10, 16, 23, 21, 12, 10, 9, 12, 18, 17, 19, 21, 17, 15, 15, 20, 19, 21, 22, 15, 19, 12, 16, 17, 19, 13, 14, 20, 14, 19, 12, 14, 13, 17, 15, 24, 15, 21, 18, 15, 14, 21, 11, 6, 10, 17, 14, 12, 14, 16, 12, 13, 12, 13, 21, 13, 16, 12, 16, 12, 9, 9, 15, 14, 10, 30, 20, 17, 20, 8, 17, 15, 10, 8, 10, 16, 17, 13, 10, 14, 12, 14, 17, 19, 11, 12, 15, 15, 7, 9, 4, 10, 8, 13, 14, 7, 14, 10, 7
13, 11, 8, 10, 11, 8, 10, 9, 10, 11, 13, 17, 12, 13, 14, 13, 12, 13, 14, 11, 12, 13, 6, 13, 13, 12, 11, 13, 10, 9, 12, 15, 13, 11, 8, 10, 9, 12, 19, 18, 20, 24, 16, 23, 18, 19, 31, 28, 27, 20, 21, 11, 17, 19, 30, 14, 17, 12, 17, 17, 23, 22, 24, 27, 16, 19, 20, 18, 19, 16, 13, 15, 16, 19, 20, 22, 13, 10, 16, 18, 19, 19, 18, 13, 10, 15, 23, 13, 19, 23, 18, 18, 26, 18, 16, 15, 21, 21, 20, 17, 22, 17, 21, 17, 22, 22, 14, 21, 14, 20, 15, 19, 17, 19, 19, 22, 26, 17, 16, 26, 20, 23, 17, 15, 15, 17, 24, 22, 18, 16, 20, 17, 17, 19, 20, 19, 19, 18, 22, 16, 14, 12, 14, 12, 19, 19, 14, 20, 14, 17
21, 20, 16, 17, 23, 18, 20, 21, 19, 18, 23, 24, 15, 19, 15, 17, 13, 13, 15, 14, 15, 16, 16, 16, 17, 13, 10, 8, 8, 5, 11, 12, 11, 11, 6, 7, 9, 5, 9, 6, 7, 18, 13, 13, 14, 15, 24, 21, 17, 15, 12, 5, 11, 15, 17, 12, 8, 9, 14, 15, 25, 12, 18, 18, 10, 14, 17, 16, 13, 18, 17, 14, 12, 13, 19, 12, 13, 16, 16, 22, 20, 17, 19, 20, 22, 20, 29, 25, 31, 29, 25, 27, 34, 23, 24, 19, 32, 20, 27, 24, 29, 27, 25, 25, 27, 27, 22, 32, 33, 31, 25, 18, 21, 27, 23, 21, 25, 25, 21, 27, 21, 25, 30, 21, 22, 19, 23, 25, 15, 19, 18, 14, 15, 17, 15, 14, 16, 13, 18, 14, 7, 6, 8, 7, 13, 12, 5, 11, 6, 6
18, 12, 9, 6, 12, 8, 11, 5, 9, 8, 10, 13, 5, 10, 8, 12, 7, 7, 8, 6, 7, 7, 6, 4, 10, 8, 7, 8, 9, 8, 9, 10, 10, 12, 6, 7, 9, 10, 10, 14, 13, 20, 8, 14, 15, 12, 20, 25, 19, 14, 12, 8, 12, 15, 20, 8, 12, 12, 14, 15, 22, 13, 25, 23, 18, 19, 19, 18, 17, 12, 14, 10, 10, 13, 21, 12, 13, 11, 14, 14, 12, 12, 18, 11, 12, 16, 26, 18, 15, 16, 13, 12, 23, 10, 12, 7, 17, 8, 12, 9, 11, 9, 9, 9, 9, 22, 21, 26, 18, 18, 16, 20, 14, 15, 12, 9, 14, 15, 14, 17, 17, 14, 12, 9, 11, 10, 21, 25, 17, 12, 9, 6, 9, 14, 15, 12, 14, 13, 14, 10, 8, 8, 10, 9, 16, 14, 11, 16, 11, 10
11, 9, 10, 4, 12, 9, 9, 7, 7, 15, 16, 12, 7, 8, 12, 12, 5, 7, 10, 7, 8, 7, 6, 9, 16, 11, 6, 5, 3, 7, 4, 7, 3, 9, 1, 3, 6, 4, 6, 10, 9, 13, 5, 13, 17, 15, 23, 23, 18, 14, 14, 7, 9, 17, 18, 6, 10, 10, 13, 15, 17, 18, 24, 26, 18, 23, 17, 19, 17, 16, 19, 18, 17, 16, 17, 14, 12, 16, 19, 23, 21, 17, 21, 14, 17, 15, 19, 13, 16, 15, 16, 14, 17, 8, 12, 7, 14, 11, 9, 17, 14, 15, 14, 19, 18, 16, 15, 22, 20, 23, 20, 13, 14, 12, 13, 16, 20, 12, 17, 15, 10, 15, 12, 9, 5, 8, 15, 19, 7, 16, 11, 9, 8, 10, 10, 8, 15, 11, 16, 10, 8, 5, 10, 6, 13, 13, 9, 14, 14, 10
9, 6, 9, 6, 10, 11, 16, 9, 5, 12, 18, 13, 12, 7, 13, 15, 9, 9, 11, 8, 8, 10, 8, 8, 9, 11, 8, 8, 10, 9, 8, 10, 7, 11, 8, 5, 5, 9, 7, 8, 8, 12, 8, 10, 14, 12, 18, 22, 14, 11, 10, 8, 10, 17, 20, 14, 9, 14, 21, 21, 19, 11, 22, 21, 15, 17, 11, 19, 15, 16, 16, 15, 23, 15, 20, 12, 11, 9, 14, 13, 13, 14, 20, 12, 8, 9, 17, 12, 17, 17, 15, 18, 18, 11, 13, 14, 16, 10, 15, 17, 21, 21, 16, 15, 13, 16, 13, 18, 11, 14, 14, 12, 9, 15, 9, 10, 18, 15, 16, 18, 14, 14, 15, 10, 6, 7, 14, 19, 12, 11, 8, 10, 7, 18, 14, 13, 13, 8, 14, 11, 9, 10, 9, 7, 14, 14, 12, 11, 4, 8
9, 7, 11, 8, 11, 7, 9, 6, 5, 6, 13, 11, 8, 5, 12, 9, 7, 4, 10, 6, 7, 5, 7, 7, 7, 14, 10, 9, 6, 5, 8, 10, 8, 7, 12, 10, 10, 13, 10, 11, 12, 12, 10, 14, 15, 13, 17, 23, 20, 17, 9, 7, 8, 20, 19, 15, 15, 16, 21, 23, 18, 20, 28, 30, 20, 24, 16, 20, 19, 19, 17, 16, 19, 22, 26, 15, 14, 14, 14, 17, 18, 15, 24, 11, 9, 9, 19, 12, 14, 18, 13, 12, 17, 10, 12, 12, 18, 13, 17, 19, 20, 13, 13, 14, 18, 13, 13, 20, 14, 16, 17, 11, 10, 10, 12, 13, 13, 12, 17, 13, 12, 18, 20, 12, 11, 12, 15, 19, 15, 12, 11, 6, 11, 15, 15, 13, 17, 15, 17, 9, 5, 4, 7, 9, 15, 17, 9, 14, 9, 10
18, 10, 11, 6, 9, 12, 12, 9, 5, 5, 10, 13, 9, 2, 9, 9, 10, 7, 7, 5, 4, 2, 2, 4, 5, 5, 4, 3, 3, 3, 7, 5, 6, 5, 7, 4, 5, 9, 11, 10, 13, 14, 9, 20, 19, 17, 20, 26, 20, 18, 23, 19, 12, 22, 24, 16, 14, 18, 23, 24, 20, 24, 25, 23, 23, 21, 18, 19, 18, 15, 20, 18, 17, 14, 21, 8, 12, 15, 14, 12, 17, 13, 16, 12, 11, 11, 19, 14, 15, 12, 16, 11, 21, 20, 20, 16, 27, 20, 15, 18, 20, 19, 14, 16, 12, 8, 12, 16, 11, 13, 10, 12, 10, 12, 10, 10, 15, 14, 17, 15, 13, 19, 17, 10, 12, 15, 18, 23, 15, 13, 8, 10, 9, 13, 13, 11, 12, 11, 14, 12, 9, 10, 12, 6, 11, 9, 8, 14, 9, 7
13, 6, 4, 7, 7, 9, 5, 6, 5, 4, 11, 10, 7, 4, 12, 3, 8, 6, 6, 9, 5, 2, 3, 4, 7, 6, 5, 4, 4, 5, 7, 8, 5, 3, 7, 8, 5, 10, 9, 15, 9, 12, 9, 13, 25, 18, 22, 25, 23, 17, 13, 10, 12, 25, 17, 15, 13, 22, 32, 23, 23, 31, 23, 29, 29, 21, 24, 23, 20, 23, 25, 22, 19, 18, 32, 20, 15, 17, 18, 18, 18, 19, 22, 15, 12, 14, 20, 19, 17, 18, 21, 21, 25, 21, 21, 17, 23, 19, 19, 20, 20, 21, 17, 18, 17, 15, 14, 20, 15, 17, 18, 16, 11, 13, 10, 11, 14, 13, 17, 13, 12, 17, 14, 9, 9, 5, 12, 23, 13, 13, 10, 12, 8, 15, 10, 10, 12, 10, 11, 6, 4, 7, 8, 8, 18, 14, 10, 13, 12, 10
12, 8, 9, 8, 11, 13, 11, 9, 7, 6, 15, 15, 12, 5, 11, 8, 11, 11, 7, 5, 7, 3, 4, 5, 8, 9, 5, 5, 8, 6, 9, 6, 4, 4, 7, 5, 4, 7, 9, 12, 6, 12, 8, 14, 19, 24, 21, 28, 23, 20, 14, 10, 13, 21, 25, 19, 15, 17, 31, 18, 20, 19, 15, 17, 18, 12, 14, 18, 10, 16, 13, 16, 13, 15, 21, 10, 10, 13, 11, 9, 17, 14, 12, 11, 11, 14, 21, 18, 16, 14, 18, 18, 23, 13, 13, 7, 9, 17, 15, 10, 12, 13, 10, 14, 13, 11, 13, 20, 11, 14, 9, 8, 10, 16, 10, 9, 17, 10, 16, 13, 13, 17, 15, 6, 8, 8, 13, 22, 14, 14, 9, 9, 13, 18, 21, 19, 14, 12, 15, 14, 6, 4, 9, 5, 10, 11, 12, 15, 14, 9
15, 8, 6, 6, 7, 13, 12, 7, 6, 9, 8, 12, 10, 4, 8, 9, 11, 6, 9, 6, 5, 4, 3, 4, 6, 6, 6, 4, 4, 7, 8, 7, 4, 6, 6, 7, 7, 9, 12, 14, 11, 18, 13, 14, 21, 15, 15, 27, 22, 13, 20, 10, 9, 22, 28, 18, 15, 23, 26, 13, 18, 18, 18, 19, 27, 19, 17, 18, 13, 16, 19, 13, 16, 15, 22, 13, 15, 19, 13, 18, 13, 10, 16, 16, 14, 8, 19, 15, 14, 21, 13, 17, 21, 10, 14, 13, 16, 13, 16, 16, 20, 16, 13, 15, 12, 7, 10, 12, 6, 11, 7, 11, 5, 10, 11, 10, 13, 11, 11, 10, 13, 15, 14, 10, 6, 6, 12, 19, 11, 12, 9, 7, 8, 13, 12, 11, 15, 15, 17, 12, 7, 5, 7, 9, 14, 13, 10, 15, 9, 11
16, 4, 5, 5, 5, 8, 16, 5, 3, 6, 8, 12, 8, 7, 7, 3, 9, 4, 9, 4, 1, 4, 3, 4, 2, 6, 5, 2, 6, 4, 12, 4, 6, 2, 6, 6, 3, 3, 7, 11, 10, 14, 10, 17, 15, 18, 18, 27, 23, 17, 12, 7, 8, 16, 18, 12, 17, 18, 25, 14, 15, 14, 22, 14, 21, 9, 11, 20, 15, 15, 17, 13, 14, 16, 26, 14, 13, 13, 21, 20, 20, 18, 14, 11, 16, 15, 25, 19, 20, 23, 16, 12, 17, 16, 10, 9, 12, 14, 15, 19, 15, 14, 14, 18, 11, 16, 14, 18, 11, 15, 15, 12, 12, 14, 12, 10, 16, 13, 17, 12, 16, 13, 17, 9, 4, 9, 11, 21, 12, 14, 12, 13, 9, 12, 12, 10, 8, 11, 13, 12, 7, 7, 10, 8, 14, 11, 12, 11, 9, 8
11, 7, 7, 7, 7, 7, 10, 7, 2, 6, 10, 11, 10, 4, 5, 3, 10, 7, 8, 8, 2, 3, 5, 2, 5, 4, 4, 6, 3, 4, 12, 5, 6, 6, 10, 9, 6, 5, 10, 13, 13, 15, 7, 19, 15, 19, 21, 26, 23, 22, 16, 9, 5, 18, 21, 14, 12, 26, 24, 20, 22, 13, 22, 22, 22, 16, 15, 22, 11, 16, 15, 16, 17, 19, 22, 11, 17, 14, 17, 16, 15, 12, 16, 14, 21, 20, 25, 20, 21, 16, 14, 16, 19, 12, 16, 15, 19, 20, 18, 15, 20, 21, 15, 19, 16, 8, 10, 14, 14, 13, 10, 12, 7, 7, 7, 11, 13, 13, 12, 25, 15, 14, 22, 14, 13, 11, 15, 21, 13, 13, 12, 9, 13, 17, 12, 10, 8, 6, 10, 11, 4, 3, 7, 4, 14, 13, 8, 9, 7, 5
